NAME,Total population,Male population,Female population,Median age,Total population (simple),White alone population,Black or African American alone population,Asian alone population,Hispanic or Latino population,White alone,Black or African American alone,Asian alone,Hispanic or Latino origin,Foreign-born population,Moved within same county last year,Moved from different county (same state),Moved from different state,Moved from abroad,Population under 18 years,Total housing units,Occupied housing units,Vacant housing units,Owner-occupied housing units,Renter-occupied housing units,Vacant units for rent,Vacant units for sale,Average household size,Occupants per room (crowding),Median year structure built,Year structure built (categorical distribution),Median gross rent,Median home value,Tenure by household income,Mortgage status,Owner costs as percentage of income,Mortgage status & owner costs,Median monthly owner costs (with mortgage),Tenure by household size,Tenure by presence of children,Total households,Married-couple households,"Female householder, no husband present","Male householder, no wife present",Household type by relationship,Family households by presence of children,Households with children under 18,Subfamilies,Household type by age of householder,state,county,tract,block_group,GOID
Alamance County,1381,750,631,47.1,1381,,,,,965,272,0,196,,,,,,,702,654,48,289,365,0,0,2.06,654,1947,654,690,225000,289,15.8,289,,,,,654,269,33,85,1350,387,654,,654,37,001,020100,1,370010201001
Alamance County,1490,775,715,54.3,1490,,,,,1302,149,0,49,,,,,,,717,717,0,497,220,0,0,2.06,717,1946,717,1197,332500,497,18.1,497,,,,,717,349,25,42,1478,416,717,,717,37,001,020100,2,370010201002
Alamance County,854,292,562,18.8,854,,,,,115,571,0,184,,,,,,,370,300,70,65,235,0,0,2.78,300,1956,300,582,243800,65,17.1,65,,,,,300,40,0,143,835,183,300,,300,37,001,020100,3,370010201003
Alamance County,651,400,251,53.9,651,,,,,401,150,0,92,,,,,,,371,333,38,8,325,0,0,1.95,333,1938,333,1199,-666666666,8,-666666666.0,8,,,,,333,121,0,35,651,156,333,,333,37,001,020100,4,370010201004
Alamance County,1700,859,841,28.8,1700,,,,,440,541,0,829,,,,,,,533,508,25,318,190,0,0,3.20,508,1963,508,686,125000,318,18.0,318,,,,,508,287,24,102,1625,413,508,,508,37,001,020200,1,370010202001
Alamance County,528,223,305,30.1,528,,,,,201,136,13,231,,,,,,,284,187,97,111,76,0,0,2.82,187,1948,187,786,150300,111,24.5,111,,,,,187,49,11,33,528,93,187,,187,37,001,020200,2,370010202002
Alamance County,771,370,401,24.8,771,,,,,471,201,12,484,,,,,,,302,270,32,94,176,0,0,2.86,270,1938,270,1083,111500,94,17.4,94,,,,,270,35,0,118,771,153,270,,270,37,001,020200,3,370010202003
Alamance County,1365,640,725,35.7,1365,,,,,548,661,0,144,,,,,,,684,652,32,213,439,0,0,2.09,652,1947,652,889,97600,213,10.8,213,,,,,652,148,30,106,1363,284,652,,652,37,001,020200,4,370010202004
Alamance County,1531,805,726,37.0,1531,,,,,706,375,0,965,,,,,,,489,442,47,215,227,0,0,3.44,442,1966,442,940,141400,215,27.5,215,,,,,442,277,0,47,1522,324,442,,442,37,001,020301,1,370010203011
Alamance County,1512,807,705,36.7,1512,,,,,246,358,0,836,,,,,,,654,567,87,81,486,35,0,2.47,567,1974,567,682,136700,81,11.9,81,,,,,567,87,49,114,1400,250,567,,567,37,001,020301,2,370010203012
Alamance County,1258,449,809,50.7,1258,,,,,605,460,0,184,,,,,,,806,592,214,328,264,0,0,1.92,592,1969,592,745,132900,328,18.3,328,,,,,592,140,0,214,1139,354,592,,592,37,001,020301,3,370010203013
Alamance County,1426,702,724,45.0,1426,,,,,201,181,0,899,,,,,,,496,472,24,331,141,0,0,3.02,472,1966,472,1082,134900,331,9.0,331,,,,,472,148,47,52,1425,247,472,,472,37,001,020302,1,370010203021
Alamance County,1808,1008,800,36.9,1808,,,,,769,192,0,879,,,,,,,794,660,134,588,72,0,0,2.74,660,1992,660,-666666666,96900,588,18.9,588,,,,,660,335,117,31,1808,483,660,,660,37,001,020302,2,370010203022
Alamance County,2683,1416,1267,34.2,2683,,,,,1325,551,0,967,,,,,,,973,936,37,641,295,0,0,2.80,936,1986,936,956,161300,641,17.1,641,,,,,936,304,164,222,2617,690,936,,936,37,001,020400,1,370010204001
Alamance County,2675,1173,1502,20.0,2675,,,,,288,1512,0,680,,,,,,,786,786,0,305,481,0,0,3.38,786,1992,786,783,121600,305,14.9,305,,,,,786,170,41,483,2657,694,786,,786,37,001,020400,2,370010204002
Alamance County,574,130,444,34.1,574,,,,,132,242,0,55,,,,,,,345,313,32,136,177,0,0,1.83,313,1970,313,1020,125000,136,20.9,136,,,,,313,93,0,0,574,93,313,,313,37,001,020400,3,370010204003
Alamance County,649,247,402,50.2,649,,,,,60,589,0,0,,,,,,,311,311,0,161,150,0,0,2.09,311,1965,311,870,160500,161,9.0,161,,,,,311,69,0,143,649,212,311,,311,37,001,020400,4,370010204004
Alamance County,722,371,351,55.2,722,,,,,0,629,0,0,,,,,,,573,468,105,360,108,33,0,1.54,468,1983,468,-666666666,-666666666,360,31.4,360,,,,,468,53,0,160,722,213,468,,468,37,001,020400,5,370010204005
